"","UserId","0h-2h","2h-4h","4h-6h","6h-8h","8h-10h","10h-12h","12h-14h","14h-16h","16h-18h","18h-20h","20h-22h","22h-0h"
"1","AARTRfIxNoA=",0,0,0,0,5.05050505050505,8.08080808080808,30.3030303030303,39.3939393939394,17.1717171717172,0,0,0
"2","AASaVfIxNoA=",0,0,82.8571428571429,17.1428571428571,0,0,0,0,0,0,0,0
"3","AAAAAAAAAAA=",0.614806847224521,0.693180355599684,2.32316546233475,14.4103829959365,23.8694449041131,12.6116994870098,13.2444334123963,15.5701270524206,10.4802158604078,3.0280673690404,0.58814606431684,2.56633018919963
"4","UfIPEzEzh2E=",0,0,0,0,28.5714285714286,40.4761904761905,15.4761904761905,10.7142857142857,4.76190476190476,0,0,0
"5","ERERERERERE=",0,0,0,0,8.69565217391304,0,17.3913043478261,73.9130434782609,0,0,0,0
"6","AASgKPIxNoA=",0,0,0,3.87051372273047,31.9493314567206,33.6382828993666,7.52990851513019,10.1337086558761,5.13722730471499,7.74102744546094,0,0
"7","1sSFyc8CbWE=",0,0,0,0,48.502994011976,8.98203592814371,38.9221556886228,3.59281437125748,0,0,0,0
"8","AARgRfIxNoA=",0,0,0.274725274725275,2.47252747252747,10.1648351648352,40.3846153846154,13.1868131868132,23.9010989010989,9.34065934065934,0.274725274725275,0,0
"9","0kgxeDOl3mE=",0,0,0,2.14778325123153,25.7339901477833,19.4088669950739,14.1083743842365,16.4334975369458,20.7881773399015,1.37931034482759,0,0
"10","AASiUfIxNoA=",0,0,9.47867298578199,36.9668246445498,10.4265402843602,0,3.7914691943128,11.8483412322275,27.4881516587678,0,0,0
"11","AARxIvIxNoA=",0,0,0,25,29.6666666666667,31.3333333333333,5.66666666666667,8.33333333333333,0,0,0,0
"12","ABERERERERE=",0,0,0,0,0,21.4285714285714,71.4285714285714,7.14285714285714,0,0,0,0
"13","jzaUttwaTGE=",0,0,0,7.45501285347044,21.5938303341902,16.9665809768638,10.2827763496144,33.4190231362468,10.2827763496144,0,0,0
"14","8RERERERERE=",0.0215563699073076,0.0862254796292304,0,2.71610260832076,5.32442336710498,26.9239060142272,26.3634403966372,32.6363440396637,5.90644535460229,0,0,0.0215563699073076
"15","AAQVUfIxNoE=",0,0,0,0,43.730407523511,0,3.91849529780564,29.4670846394984,14.8902821316614,7.99373040752351,0,0
"16","ZA6Vf2N+BmE=",0,0,0,4.45859872611465,8.28025477707006,40.1273885350318,15.6050955414013,20.3821656050955,8.9171974522293,2.22929936305732,0,0
"17","AASNcvIxNoA=",0,0,0,0,3.50877192982456,0,3.50877192982456,17.1052631578947,75.8771929824561,0,0,0
"18","AASUevIxNoA=",0,0,0,0,16.5413533834586,49.6240601503759,33.8345864661654,0,0,0,0,0
"19","AAT0zip1M4A=",0,0,0,0,0,0,0,100,0,0,0,0
"20","AAStJPIxNoA=",0,0,0,0,49.3927125506073,24.6963562753036,0,0,25.9109311740891,0,0,0
"21","AASEdfIxNoA=",0,0,0,0,10.126582278481,24.6835443037975,6.9620253164557,30.0632911392405,28.1645569620253,0,0,0
"22","AASFaPIxNoA=",0,0,0,15.5102040816327,30.2040816326531,0,41.2244897959184,0,0,13.0612244897959,0,0
"23","AAQud/IxNoE=",0,0,0,3.94190871369295,22.6141078838174,22.8215767634855,16.804979253112,8.50622406639004,13.0705394190871,12.2406639004149,0,0
"24","AARAUPIxNoA=",0,0,32.258064516129,0,0,8.60215053763441,0,0,15.0537634408602,44.0860215053763,0,0
