"","UserId","0h-2h","2h-4h","4h-6h","6h-8h","8h-10h","10h-12h","12h-14h","14h-16h","16h-18h","18h-20h","20h-22h","22h-0h"
"1193","AAQaaPIxNoA=",0,0,1.68067226890756,0,0,0,60.5042016806723,37.8151260504202,0,0,0,0
"1194","AARe5CrESIE=",0,0,0,25.8893280632411,48.2213438735178,0,5.33596837944664,15.2173913043478,3.95256916996047,1.38339920948617,0,0
"1195","AAS5rCp1M4A=",0,0,0,0,0,0,0,52,40,0,8,0
"1196","AARk5yrESIA=",0,0,0,0,0,100,0,0,0,0,0,0
"1197","AARkSPIxNoA=",0,0,0,7.46268656716418,33.5820895522388,6.71641791044776,12.6865671641791,5.22388059701493,34.3283582089552,0,0,0
"1198","AAR5oCp1M4A=",0,0,0,0,0,0,0,0,0,100,0,0
"1199","AARAYPIxNoA=",0,0,0,0,0,0,35.7142857142857,37.3015873015873,26.984126984127,0,0,0
"1200","AATnNfIxNoA=",0,0,0,45.8333333333333,23.9583333333333,0,19.7916666666667,10.4166666666667,0,0,0,0
"1201","c3vuindA4mE=",0,0,0,0,0,0,0,0,0,100,0,0
"1202","AAQcV/IxNoE=",0,0,0,0,41.2073490813648,20.997375328084,26.246719160105,0,11.5485564304462,0,0,0
"1203","AAQAVfIxNoA=",0,0,0,0,0,0,0,0,0,0,0,100
"1204","AARBFfIxNoA=",100,0,0,0,0,0,0,0,0,0,0,0
"1205","xmZFteTWWWE=",0,0,0,0,100,0,0,0,0,0,0,0
"1206","nQrrXTZogGE=",0,0,0,4.9079754601227,4.29447852760736,0,0,0,54.601226993865,17.7914110429448,18.4049079754601,0
"1207","AAQJSPIxNoE=",0,0,0,57.8947368421053,28.4210526315789,13.6842105263158,0,0,0,0,0,0
"1208","AASUySp1M4A=",0,0,0,0,0,27.2277227722772,0,26.2376237623762,46.5346534653465,0,0,0
"1209","AASO5SrESIA=",0,0,0,0,29.5566502463054,29.5566502463054,31.2807881773399,9.60591133004926,0,0,0,0
"1210","AARv4irESIA=",0,0,0,36.3636363636364,0,0,63.6363636363636,0,0,0,0,0
"1211","C4eqnhWt5mE=",0,0,0,0,100,0,0,0,0,0,0,0
"1212","AARq4SrESIA=",0,0,7.11111111111111,1.67521367521368,7.47008547008547,17.7435897435897,7.00854700854701,5.94871794871795,53.042735042735,0,0,0
"1213","fwztv9chWmE=",0,0,0,0,0,0,0,100,0,0,0,0
"1214","AARuMPIxNoA=",0,0,43.5897435897436,0,20.5128205128205,0,0,0,0,0,35.8974358974359,0
"1215","AARgPfIxNoA=",0,0,0,0,0,100,0,0,0,0,0,0
"1216","7FnUTzuouWE=",0,0,0,0,0,0,0,0,8,92,0,0
"1217","AASyL/IxNoA=",0,0,0,16.25,26.25,0,13.75,0,0,18.75,25,0
"1218","+DJM6Wq3sWE=",0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0
"1219","AAQhyirESIA=",0,0,0,50,16.6666666666667,0,16.6666666666667,16.6666666666667,0,0,0,0
"1220","58o+g/p5Y2E=",0,0,0,0,15.3409090909091,4.54545454545455,17.0454545454545,7.95454545454545,5.68181818181818,24.4318181818182,25,0
"1221","AASuX/IxNoA=",0,0,0,0,33.0708661417323,28.3464566929134,0,38.5826771653543,0,0,0,0
"1222","Z3Lopju9VWE=",0,0,0,0,0,0,0,0,0,0,0,100
"1223","AAQEMPIxNoE=",7.4468085106383,1.06382978723404,9.57446808510638,0,0,7.4468085106383,0,69.1489361702128,0,0,5.31914893617021,0
"1224","AARP3CrESIE=",0,45.4545454545455,0,0,0,0,0,0,0,54.5454545454545,0,0
"1225","AAR3KfIxNoA=",0,0,0,0,23.7442922374429,10.958904109589,0,65.296803652968,0,0,0,0
"1226","5kW65h+KbWE=",0,0,0,32,44,0,24,0,0,0,0,0
"1227","XhkYRYIHumE=",0,0,1.33333333333333,0,17.3333333333333,44,0,0,37.3333333333333,0,0,0
"1228","AASN5SrESIA=",0,0,0,0,15.2173913043478,10.8695652173913,60.8695652173913,13.0434782608696,0,0,0,0
"1229","AATAzCrESIA=",0,0,0,0,0,0,100,0,0,0,0,0
"1230","AAQa4irESIA=",0,0,0,0,0,0,100,0,0,0,0,0
"1231","AAShQvIxNoA=",0,0,0,0,100,0,0,0,0,0,0,0
"1232","AASp5CrESIA=",0,0,0,0,0,20.7207207207207,49.5495495495495,0,29.7297297297297,0,0,0
"1233","HggIAAAHmGE=",0,0,0,0,0,0,0,0,0,0,0,100
"1234","AACgACCECAA=",0,0,0,0,0,0,0,100,0,0,0,0
"1235","AATg4yrESIA=",0,0,0,0,0,0,0,0,100,0,0,0
"1236","AASQP/IxNoA=",0,0,0,0,13.0281690140845,7.3943661971831,26.7605633802817,36.6197183098592,16.1971830985915,0,0,0
"1237","fGSbW/oXTGE=",0,0,0,0,96.3636363636364,0,0,0,0,3.63636363636364,0,0
"1238","AATixip1M4A=",0,0,0,12.0388349514563,23.8834951456311,32.621359223301,3.88349514563107,0,27.5728155339806,0,0,0
"1239","mC8+er8Id2E=",0,0,0,16.6077738515901,13.7809187279152,12.0141342756184,15.1943462897526,6.00706713780919,26.1484098939929,6.36042402826855,0.706713780918728,3.18021201413428
"1240","AAQdxip1M4E=",0,0,0,32.7160493827161,13.5802469135802,0,0,0,53.7037037037037,0,0,0
"1241","LpUce6wDTWE=",0,0,0,28,12,0,4,2.4,18.4,33.6,1.6,0
"1242","AAQNb/IxNoA=",0,0,0,14.2857142857143,8.57142857142857,8.57142857142857,20,14.2857142857143,22.8571428571429,5.71428571428571,5.71428571428571,0
"1243","AAQab/IxNoA=",0,0,0,0,0,0,0,40.4255319148936,7.4468085106383,31.3829787234043,20.7446808510638,0
"1244","bqSYh00RAWE=",0,0,0,0,0,0,21.656050955414,0,78.343949044586,0,0,0
"1245","nAQKxifaqWE=",0,0,0,12.9032258064516,35.4838709677419,0,0,38.7096774193548,12.9032258064516,0,0,0
"1246","AARlJfIxNoA=",0,0,0,0,76.4102564102564,13.3333333333333,0,0,10.2564102564103,0,0,0
"1247","AAR23SrESIE=",0,0,0,0,48,0,0,0,0,52,0,0
"1248","AAT84CrESIA=",0,0,0,0,0,0,0,0,0,40,0,60
"1249","VYFXuajyK2E=",0,0,0,0,0,30.5343511450382,12.9770992366412,0,56.4885496183206,0,0,0
"1250","AARa0yp1M4A=",0,0,0,0,27.3381294964029,0,0,49.6402877697842,23.0215827338129,0,0,0
"1251","v3WD4dYR3mE=",0,0,0,100,0,0,0,0,0,0,0,0
"1252","AAT0NfIxNoA=",0,0,0,0,34.8484848484849,0,0,65.1515151515152,0,0,0,0
"1253","AAQia/IxNoA=",0,0,0,23.8095238095238,17.9487179487179,0,22.7106227106227,30.03663003663,5.49450549450549,0,0,0
"1254","AAQC1CrESIE=",0,0,0,24.822695035461,17.0212765957447,0,0,45.3900709219858,12.7659574468085,0,0,0
"1255","AATczip1M4A=",0,0,0,0,0,0,0,100,0,0,0,0
"1256","AASN7CrESIA=",0,0,0,0,0,0,0,0,100,0,0,0
"1257","AAS2NfIxNoA=",0,0,0,0,26.9598470363289,0,0,9.56022944550669,43.5946462715105,19.8852772466539,0,0
"1258","AAS1dvIxNoA=",0,0,0,7.70440251572327,75,6.28930817610063,0,0.314465408805031,10.6918238993711,0,0,0
"1259","AAQOTPIxNoE=",0,0,0,40,60,0,0,0,0,0,0,0
"1260","AASTyyrESIA=",0,0,27.2727272727273,21.2121212121212,0,0,12.1212121212121,39.3939393939394,0,0,0,0
"1261","AAQYVvIxNoE=",0,0,0,0,0,14.2857142857143,32.1428571428571,53.5714285714286,0,0,0,0
"1262","AAQ65SrESIA=",0,0,0,16.4556962025316,45.5696202531646,0,0,31.6455696202532,6.32911392405063,0,0,0
"1263","AASXP/IxNoA=",0,0,0,24.2424242424242,9.09090909090909,15.1515151515152,21.2121212121212,30.3030303030303,0,0,0,0
"1264","AAQV5SrESIA=",0,0,0,48.7179487179487,0,51.2820512820513,0,0,0,0,0,0
"1265","AASzzCrESIA=",0,0,0,0,3.67647058823529,36.7647058823529,0,13.2352941176471,37.5,8.82352941176471,0,0
"1266","AAR81irESIE=",0,0,0,0,0,0,0,100,0,0,0,0
"1267","AASI4yrESIE=",0,0,0,0,0,91.5966386554622,0,8.40336134453782,0,0,0,0
"1268","mooIVZme32E=",0,0,0,0,59.2592592592593,7.40740740740741,20.3703703703704,12.962962962963,0,0,0,0
"1269","AAT0PfIxNoA=",0,0,0,0,51.4018691588785,6.54205607476636,9.34579439252336,6.54205607476636,16.8224299065421,0,9.34579439252336,0
"1270","AAQjePIxNoA=",0,0,0,34.8484848484849,5.55555555555556,13.6363636363636,15.1515151515152,30.8080808080808,0,0,0,0
"1271","AASFJvIxNoA=",0,0,0,0,58.7912087912088,8.24175824175824,0,16.4835164835165,0,16.4835164835165,0,0
"1272","AASvZ/IxNoA=",0,0,0,0,20.4444444444444,28.4444444444444,6.22222222222222,33.7777777777778,11.1111111111111,0,0,0
"1273","AATlTvIxNoA=",0,0,25.3731343283582,17.910447761194,49.2537313432836,7.46268656716418,0,0,0,0,0,0
"1274","W3kuJ4Q9SWE=",0,0,0,0,36.9127516778523,24.1610738255034,0,16.5548098434004,22.3713646532438,0,0,0
"1275","AAThxCp1M4A=",0,0,0,0,22.2222222222222,50.5050505050505,11.1111111111111,16.1616161616162,0,0,0,0
"1276","AAQLbvIxNoE=",0,0,0,0,47.5409836065574,0,0,52.4590163934426,0,0,0,0
"1277","AAS6c/IxNoA=",0,0,0,0,24.1379310344828,0,75.8620689655172,0,0,0,0,0
