"","ID_Conteneur","Nb_dep_jr_moyenne","Nb_dep_jr_mediane","Taille_moyenne","Nb_user_month"
"1","FR102AA15111",61.6717557251908,46,0.98246482650493,29.5625
"2","FR104AA15111",22.8965517241379,15,0.959588353413655,5.07692307692308
"3","FR105AA15111",81.4012158054711,63,0.939845412792652,26.1428571428571
"4","FR103AA15111",52.1084337349398,40.5,0.884277456647399,16.2857142857143
"5","FR106AA15111",87.080604534005,71,0.901680599346273,33.75
"6","FR107AA15111",85.9543010752688,65,0.961657544956998,29
"7","FR108AA15111",43.8579881656805,30,0.94515650296816,16.8
"8","FR117WW15121",3.5,3.5,0.714285714285714,1
"9","FR106LS15111",10.4,4,1.28846153846154,6.66666666666667
"10","FR007WW15121",6.96666666666667,2,0.961722488038278,5.33333333333333
"11","FR104WW15111",3,3,2,1
"12","FR106WW15111",2.89473684210526,2,1.27272727272727,2.66666666666667
"13","FR042LS14031",8.2,3,0.146341463414634,2
"14","FR115WW15111",7.63636363636364,4,0.863095238095238,3.42857142857143
"15","FR116AA15111",26.5638629283489,14,0.958015714788319,11.4666666666667
"16","FR111AA15111",41.9542682926829,25,0.927694208269748,11.6
"17","FR122AA15111",6.4,3,1,1
"18","FR112AA15111",32.4542124542125,16,0.924379232505643,10.4
"19","FR109AA15111",51.685878962536,39,0.933482018399777,20
"20","FR113AA15111",47.3735294117647,39,0.933631340411001,15.6428571428571
"21","FR110AA15111",43.1750841750842,31,1.25329486079701,19.1538461538462
"22","FR114AA15111",116.75,100.5,0.89746526567402,37.4666666666667
"23","FR119AA15111",79.6188925081433,65,0.935523462750072,23.7142857142857
"24","FR121AA15111",44.7965517241379,27,0.966900161650373,16.2307692307692
"25","FR125AA15111",36.6433121019108,26.5,0.864331653050582,11.9230769230769
"26","FR131AA15111",13.0597014925373,8,0.970285714285714,5.41666666666667
"27","FR101AA15111",26.260663507109,17,0.957227937195452,7.84615384615385
"28","FR129AA15111",16.5384615384615,6,0.998211091234347,5.53846153846154
"29","FR126AA15111",17.2730923694779,10,0.925366193908393,5.92857142857143
"30","FR128AA15111",52.2442996742671,32,0.920568614003367,7.375
"31","FR130AA15111",88.8934911242604,80,0.932137389336351,19.0714285714286
"32","FR117AA15111",23.1825396825397,14,0.924683327627525,5.38461538461539
"33","FR118AA15111",18.2732240437158,8,0.941686602870813,3.61538461538462
"34","FR145AA15111",10.3782051282051,3,1.02223594811612,2.84615384615385
"35","FR146AA15111",19.711038961039,13,0.931148081041015,5.38461538461539
"36","FR147AA15111",30.8720238095238,24.5,0.904559915164369,7.21428571428571
"37","FR140AA15111",19.5342019543974,15,0.801400700350175,3.69230769230769
"38","FR136AA15111",16.0758293838863,6,0.942216981132076,6.23076923076923
"39","FR137AA15111",42.716814159292,29,0.896139769352945,13.3846153846154
"40","FR149AA15111",37.7077464788732,26,1.0944999533103,11
"41","FR132AA15111",6.10691823899371,2,0.774459320288363,2.15384615384615
"42","FR133AA15111",21.790273556231,17,0.918538150369647,4.42857142857143
"43","FR135AA15111",25.6942446043165,16,0.961640767184656,8.23076923076923
"44","FR127AA15111",38.8636363636364,26,0.897076023391813,9.69230769230769
"45","FR134AA15111",50.9595375722543,36,0.974251361161525,17.0714285714286
"46","FR120AA15111",23.7071428571429,16.5,0.965652304911118,6.41666666666667
"47","FR144AA15111",35.9188311688312,22,0.934195064629847,11.8333333333333
"48","FR142AA15111",61.4832214765101,11,0.991813120838336,6.58333333333333
"49","FR141AA15111",30.0052083333333,22.5,0.95764624197188,6.5
"50","FR138AA15111",21.548717948718,14,0.963588767253689,10.9166666666667
"51","FR139AA15111",30.6811594202899,17,0.964729963785231,7.91666666666667
"52","FR143AA15111",3.85714285714286,2,0.592592592592593,1.4
"53","FR150AA15111",31.3038461538462,21,0.891018552647745,8.33333333333333
"54","FR123AA15111",97.17843866171,56,0.954707164989863,23.5714285714286
"55","FR124AA15111",102.287974683544,71,0.910249667419485,26.2307692307692
"56","FR115AA15111",175.332247557003,151,0.735820313225705,37.2142857142857
"57","FR148AA15111",88.86646884273,78,0.892947776145319,18.1428571428571
"58","FR151AA15111",85.3258064516129,52.5,0.938074174889418,33.7692307692308
"59","FR213AA15111",43.972972972973,19,0.946035648432698,11.6363636363636
"60","FR202AA15111",53.7462686567164,39.5,0.944737572896418,43.4545454545455
"61","FR211AA15111",40.8467741935484,26,0.960612043435341,19.8181818181818
"62","FR215AA15111",30.6039603960396,20,0.947266256874798,6.45454545454545
"63","FR218AA15111",54.3958333333333,40,0.976713902719265,40
"64","FR203AA15111",72.4087591240876,53,0.9421875,54
"65","FR204AA15111",28.6632124352332,17,0.88647866955893,11.5454545454545
"66","FR206AA15111",48.9330855018587,32,0.889766770493049,42.1818181818182
"67","FR207AA15111",57.4351851851852,34.5,0.979929066580687,38.0833333333333
"68","FR208AA15111",60.4982456140351,48,0.933766384410161,34.75
"69","FR212AA15111",44.25,26,0.965099325678877,23.7272727272727
"70","FR214AA15111",25.9819004524887,13,0.904737025426681,5.81818181818182
"71","FR216AA15111",38.0392156862745,27,0.972551546391753,17.9166666666667
"72","FR217AA15111",44.0688259109312,28,0.955810748736794,30.8181818181818
"73","FR219AA15111",28.0517928286853,15,0.971736969180514,15.0909090909091
"74","FR210AA15111",23.0851063829787,8,0.898310291858679,7.09090909090909
"75","FR205AA15111",31.056,17,0.97462648119526,23
"76","FR209AA15111",52.921568627451,39,0.944646165246388,19
"77","FR152AA15111",15.8333333333333,6,4.85263157894737,3.5
